text,label,symptoms,growth_stage,environment,facility,province
叶片颜色正常无病斑,健康,,VEGETATIVE,通风良好,露地,山东
叶片翠绿舒展且没有异常斑点,健康,,VEGETATIVE,通风良好,露地,河北
植株长势正常叶面干净无黄化,健康,,FLOWERING,晴朗干爽,温室,辽宁
叶片完整无卷曲也无霉层,健康,,SEEDLING,湿度适中,阳台,广东
果期叶片颜色均匀没有病斑,健康,,FRUIT_SET,天气稳定,露地,陕西
叶片颜色正常，没有病斑和虫害,健康,,VEGETATIVE,正常,露地,山东
植株长势良好，叶片翠绿舒展,健康,,FLOWERING,晴朗,露地,河北
叶子完整，没有黄化或卷曲,健康,,FRUIT_SET,通风良好,温室,辽宁
苗期叶片干净，无异常斑点,健康,,SEEDLING,湿度适中,阳台,广东
叶片无卷曲，也无虫咬痕迹,健康,,VEGETATIVE,通风,温室,山东
植株健壮，叶面干净无黄化,健康,,FLOWERING,晴朗干爽,露地,江苏
叶子没有发现任何病斑或异常,健康,,VEGETATIVE,正常,温室,浙江
番茄叶子看着挺正常，没有长斑也没发黄,健康,"",VEGETATIVE,通风良好,露地,河南
这几片叶子颜色很正，没有卷叶和霉点,健康,"",FLOWERING,晴朗,温室,山西
叶子一直挺绿的，没见虫点和病斑,健康,"",VEGETATIVE,管理正常,阳台,福建
整株状态不错，叶面干净，叶片也不卷,健康,"",FRUIT_SET,天气稳定,露地,江西
苗子长得顺，叶片上没看出啥毛病,健康,"",SEEDLING,湿度适中,温室,广东
叶面平整发绿，没有黄斑和黑点,健康,"",VEGETATIVE,正常,温室,河北
叶子没有发霉，也没有一块块发黄,健康,"",FLOWERING,通风,露地,江苏
整棵番茄看着健康，叶片颜色均匀,健康,"",FRUIT_SET,晴朗干爽,阳台,浙江
叶片出现同心轮纹褐斑,早疫病,褐斑 轮纹,FRUIT_SET,高湿,露地,河南
叶子上有褐色圈圈斑，看着像年轮一样,早疫病,褐斑 轮纹,FRUIT_SET,高湿,露地,河北
老叶子先起褐斑，后来斑里一圈一圈很明显,早疫病,褐斑 轮纹,VEGETATIVE,潮湿,温室,山东
下面叶片有褐色病斑，中间颜色更深，像轮纹,早疫病,褐斑 轮纹,VEGETATIVE,湿热,露地,安徽
斑点是褐色的，还带一圈圈纹路，边上有点黄,早疫病,褐斑 轮纹 黄化,FLOWERING,闷热潮湿,温室,湖南
叶片长了褐斑，斑里有明显同心纹,早疫病,褐斑 轮纹,FRUIT_SET,高湿,温室,江苏
叶子中下部先出斑，褐色带轮纹，慢慢扩大,早疫病,褐斑 轮纹 扩展,FRUIT_SET,阴雨后潮湿,露地,重庆
褐色病斑像靶子但更像年轮，周围微黄,早疫病,褐斑 轮纹 黄化,VEGETATIVE,高湿,露地,河南
叶片褐斑一圈套一圈，老叶比较严重,早疫病,褐斑 轮纹,FRUIT_SET,湿热,温室,湖北
下部叶片出现褐色圆斑且有同心轮纹,早疫病,褐斑 圆斑 轮纹,FRUIT_SET,高湿,露地,安徽
叶片上有褐色轮纹状的斑点边缘发黄,早疫病,褐斑 轮纹 黄化,FLOWERING,闷热潮湿,温室,湖北
老叶先出现褐斑后变成了轮纹病斑,早疫病,褐斑 轮纹,VEGETATIVE,高湿,露地,河南
叶片有明显同心轮纹斑并伴少量枯黄,早疫病,轮纹 发黄,FRUIT_SET,阴雨后潮湿,露地,重庆
叶面出现褐色斑块中部深色似轮纹,早疫病,褐斑 轮纹,FRUIT_SET,湿热,温室,江苏
叶片上有褐色轮纹斑，边缘发黄,早疫病,褐斑 轮纹 黄化,FLOWERING,闷热,温室,湖北
老叶先出现褐斑，逐渐形成轮纹,早疫病,褐斑 轮纹,VEGETATIVE,高湿,露地,河北
病斑褐色，有明显同心轮纹，周围有时发黄,早疫病,褐斑 轮纹 黄化,FRUIT_SET,潮湿,露地,山东
叶片出现轮纹状褐斑，中部颜色深,早疫病,褐斑 轮纹,VEGETATIVE,湿热,温室,江苏
中下部叶片有褐色病斑，轮纹清晰,早疫病,褐斑 轮纹,FLOWERING,高湿,露地,安徽
病斑呈同心轮纹，褐色，扩大后连片,早疫病,褐斑 轮纹 扩展,FRUIT_SET,阴雨,露地,重庆
叶片迅速出现水渍状暗斑并扩散,晚疫病,水渍 暗斑,FRUIT_SET,连阴雨,露地,云南
叶片边缘出现水渍状暗绿色病斑扩展很快,晚疫病,水渍 暗斑,FRUIT_SET,连阴雨,露地,贵州
病斑呈水浸状并迅速蔓延到大片叶面,晚疫病,水渍 扩展,FRUIT_SET,高湿,露地,云南
叶片暗褐色湿腐样斑块很快扩大,晚疫病,暗斑 腐烂,FRUIT_SET,低温高湿,温室,甘肃
病斑呈水渍状，迅速蔓延至全叶,晚疫病,水渍 扩展,FRUIT_SET,高湿,露地,重庆
叶片出现暗绿色水渍斑，潮湿时长白霉,晚疫病,水渍 暗斑 霉层,FRUIT_SET,高湿,露地,湖南
叶片水渍状病斑，颜色发暗，扩展迅速,晚疫病,水渍 暗斑 扩展,VEGETATIVE,雨后,露地,湖北
病斑水浸状，暗褐色，叶片软腐,晚疫病,水渍 暗斑 腐烂,FRUIT_SET,高湿,温室,江西
下部叶片先出现水渍斑，很快扩大,晚疫病,水渍 扩展,VEGETATIVE,潮湿,露地,安徽
叶片暗褐色湿腐，病斑边缘水渍状,晚疫病,暗斑 腐烂 水渍,FRUIT_SET,高湿,露地,江苏
果实附近叶片先现水渍斑后发黑腐烂,晚疫病,水渍 发黑 腐烂,FRUIT_SET,持续阴雨,露地,四川
叶片病斑颜色发暗并且像被水泡过一样,晚疫病,水渍 暗斑,VEGETATIVE,雾多潮湿,露地,云南
叶子像被水泡过一样发暗，病斑扩得特别快,晚疫病,水渍 暗斑 扩展,FRUIT_SET,连阴雨,露地,贵州
病叶上有暗绿色湿斑，几天就蔓了一大片,晚疫病,水渍 暗斑 扩展,FRUIT_SET,高湿,露地,云南
叶片发黑发暗，摸着像湿腐一样,晚疫病,暗斑 腐烂,FRUIT_SET,低温高湿,温室,甘肃
叶子上的斑看着湿漉漉的，而且扩展特别快,晚疫病,水渍 扩展,VEGETATIVE,潮湿,露地,湖北
病斑像水浸过一样，后面整块叶子发黑,晚疫病,水渍 发黑,FRUIT_SET,持续阴雨,露地,四川
一开始只是暗色水渍斑，后面很快烂掉,晚疫病,水渍 暗斑 腐烂,FRUIT_SET,高湿,温室,江西
叶片边缘先湿斑，后来整片发暗腐烂,晚疫病,水渍 暗斑 腐烂,FRUIT_SET,高湿,露地,湖南
病斑颜色发暗，像泡水一样，扩展得很猛,晚疫病,水渍 暗斑 扩展,VEGETATIVE,雾多潮湿,露地,重庆
新长出来的叶子又黄又卷，苗子也不怎么长,黄化曲叶病毒病,发黄 卷曲 生长缓慢,SEEDLING,高温,温室,广东
上面的嫩叶卷得厉害，还发黄变小,黄化曲叶病毒病,发黄 卷曲 矮化,VEGETATIVE,高温,温室,广西
叶子发黄发皱，往上卷，整株显得矮,黄化曲叶病毒病,发黄 卷曲 皱缩 矮化,SEEDLING,高温,温室,海南
新叶卷起来而且变小，植株明显长不高,黄化曲叶病毒病,卷曲 矮化 生长缓慢,VEGETATIVE,白粉虱偏多,温室,福建
顶部叶片又黄又卷，整棵苗长势变差,黄化曲叶病毒病,发黄 卷曲 生长缓慢,FLOWERING,高温,阳台,广东
叶片发黄卷边，嫩梢长得慢，苗子发矮,黄化曲叶病毒病,发黄 卷曲 矮化,SEEDLING,高温干燥,露地,湖北
新叶发黄而且缩成一团，植株生长受阻,黄化曲叶病毒病,发黄 卷曲 生长缓慢,VEGETATIVE,虫媒高发,温室,湖南
叶子卷曲变小，颜色也黄，整株发育不正常,黄化曲叶病毒病,发黄 卷曲 畸形,VEGETATIVE,高温,温室,江苏
植株矮化叶片发黄并卷曲,黄化曲叶病毒病,发黄 卷曲,SEEDLING,高温,温室,广东
植株明显矮小新叶发黄且向上卷,黄化曲叶病毒病,发黄 卷曲 矮化,SEEDLING,高温,温室,广东
叶片黄化变小并出现卷叶现象,黄化曲叶病毒病,发黄 卷曲,VEGETATIVE,虫媒高发,温室,海南
顶端嫩叶卷曲发黄整株长势弱,黄化曲叶病毒病,卷曲 发黄 生长缓慢,SEEDLING,高温干燥,阳台,广东
叶片黄化皱缩且偏小,黄化曲叶病毒病,发黄 卷曲 矮化,VEGETATIVE,白粉虱偏多,温室,广西
新叶小而卷，颜色发黄，生长点受阻,黄化曲叶病毒病,卷曲 发黄 生长缓慢,FLOWERING,高温,温室,湖南
整株叶片发黄，新叶卷曲，植株不长,黄化曲叶病毒病,发黄 卷曲 生长缓慢,VEGETATIVE,高温干旱,露地,河南
苗期出现新叶黄化卷曲，矮化明显,黄化曲叶病毒病,发黄 卷曲 矮化,SEEDLING,高温,温室,湖北
叶片黄化皱缩，边缘卷曲，叶厚脆,黄化曲叶病毒病,发黄 卷曲 皱缩,VEGETATIVE,高温,温室,山东
植株上部叶片黄化卷曲，下部正常,黄化曲叶病毒病,发黄 卷曲,FLOWERING,高温,温室,江苏
新叶发黄卷曲，叶面凹凸不平,黄化曲叶病毒病,发黄 卷曲 畸形,VEGETATIVE,高温,露地,安徽
新叶小而卷曲伴随整株生长受阻,黄化曲叶病毒病,卷曲 生长缓慢,FLOWERING,高温,温室,福建
叶背有霉层叶面黄斑,叶霉病,霉斑 黄斑,FRUIT_SET,高湿,温室,山东
叶背长出灰绿色霉层且叶面有很多小黄斑,叶霉病,霉斑 黄斑,FRUIT_SET,高湿,温室,山东
叶片背面霉层明显正面出现褪绿黄斑,叶霉病,霉斑 黄斑 失绿,FLOWERING,通风差,温室,河北
下部叶背有绒状霉层叶面逐渐发黄,叶霉病,霉斑 发黄,FRUIT_SET,高湿,温室,辽宁
棚内湿度大时叶背先出现褐绿色霉斑,叶霉病,霉斑 褐斑,VEGETATIVE,高湿,温室,吉林
